2017,2018,2019,2020,2021,2022,2023,
65,64,69,70,69,65,61,JavaScript
32,41,49,61,52,53,54,Python
60,55,61,55,60,54,52,HTML/CSS
42,47,56,56,54,49,52,SQL
47,51,50,54,49,48,49,Java
-,29,40,39,37,34,34,Shell
12,17,25,28,29,34,34,TypeScript
17,18,20,27,23,25,25,C++
20,22,24,22,21,23,21,C#
15,16,17,23,19,20,19,C
30,2,29,27,32,20,18,PHP
8,12,18,19,17,19,17,Go
2,9,16,17,14,16,15,Kotlin
-,2,5,7,6,9,10,Rust
9,8,11,9,7,7,,Swift
10,8,11,8,6,5,4,Ruby
7,5,6,5,3,3,3,Scala
7,5,6,4,3,3,2,Objetive-C
